iter	RMSE
276	19.08751691
277	19.03483739
278	18.87535638
279	18.69150934
280	18.66265107
281	18.63446839
282	18.44360617
283	18.32061945
284	18.2727148
285	18.12819135
286	17.95847422
287	17.93334691
288	17.79182223
289	17.74765214
290	17.6792049
291	17.55320508
292	17.47760319
293	17.41375623
294	17.22672199
295	17.16550609
296	16.99954823
297	16.84024525
298	16.68238212
299	16.59595799
300	16.40720435
301	16.32240514
302	16.25607148
303	16.19190129
304	16.12997334
305	16.05304411
306	15.94221004
307	15.88780351
308	15.7806329
309	15.70914181
310	15.60580388
311	15.46365872
312	15.36435021
313	15.18915162
314	15.04534401
315	14.90803258
316	14.84880302
317	14.75675199
318	14.60730247
319	14.53142744
320	14.38438629
321	14.3063212
322	14.13809829
323	14.00877552
324	13.98054872
325	13.95302071
326	13.88281409
327	13.80409112
328	13.6825121
329	13.63087484
330	13.55800833
331	13.50841731
332	13.39130101
333	13.29310373
334	13.22229194
335	13.11042296
336	13.06814718
337	13.00271632
338	12.95694855
339	12.84983441
340	12.81329804
341	12.73863978
342	12.67821549
343	12.6070234
344	12.53859189
345	12.48139139
346	12.41607033
347	12.36583986
348	12.23614172
349	12.18803148
350	12.14136321
351	12.10261342
352	11.99175005
353	11.95423955
354	11.91768812
355	11.83524122
356	11.75750337
357	11.67908299
358	11.60948973
359	11.53577031
360	11.46517089
361	11.39753045
362	11.28025503
363	11.167854
364	11.10305963
365	10.99104966
366	10.92910671
367	10.84419372
368	10.78509407
369	10.68303886
370	10.57088315
371	10.51440483
372	10.40721981
373	10.35348751
374	10.25866894
375	10.16142935
376	10.0636379
377	10.01422005
378	9.937621873
379	9.844937502
380	9.772785118
381	9.711931138
382	9.666814593
383	9.560133407
384	9.475913801
385	9.375532523
386	9.27859099
387	9.193172062
388	9.150798725
389	9.085172749
390	9.005015853
391	8.928370632
392	8.875570986
393	8.812607776
394	8.761690121
395	8.704211622
396	8.656149567
397	8.609634785
398	8.576026286
399	8.523459916
